"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Oct 03 21:30:06 GMT 2025","Fri Oct 03 21:30:06 GMT 2025","48","","","","","","Enter invalid coupon",""
"failed","Fri Oct 03 21:30:07 GMT 2025","Fri Oct 03 21:30:07 GMT 2025","133","","","","","","Age restriction upon login",""
"broken","Fri Oct 03 21:30:09 GMT 2025","Fri Oct 03 21:30:09 GMT 2025","1","","","","","","Women link functionality",""
"broken","Fri Oct 03 21:30:09 GMT 2025","Fri Oct 03 21:30:09 GMT 2025","2","","","","","","Search functionality using Selenium Actions",""
"broken","Fri Oct 03 21:30:06 GMT 2025","Fri Oct 03 21:30:06 GMT 2025","48","","","","","","Picking a random country for checkout",""
"broken","Fri Oct 03 21:30:09 GMT 2025","Fri Oct 03 21:30:09 GMT 2025","2","","","","","","Store link functionality",""
"broken","Fri Oct 03 21:30:06 GMT 2025","Fri Oct 03 21:30:06 GMT 2025","48","","","","","","Buying a product",""
"broken","Fri Oct 03 21:30:06 GMT 2025","Fri Oct 03 21:30:06 GMT 2025","45","","","","","","Men link functionality",""
"passed","Fri Oct 03 21:30:07 GMT 2025","Fri Oct 03 21:30:07 GMT 2025","1","","","","","","Age restriction upon login",""
